URL,設問番号,設問者,設問,田村康夫氏,山岸みつる氏,佐々木勝久氏
https://ameblo.jp/ocsummit/entry-12619719082.html,1,OCサミット実行委員会,子どもの屋内の遊び場がないことについて,私も3才と6ヶ月、2人の孫を持つ“おじいちゃん”ですので、孫たち、さらにその先の世代に素晴らしい街を引き継いでいけたらと、切に願っている一人です。,子どもが屋内で楽しく遊び学べ、親が一緒に滞在できる空間を必ずつくります。,子ども達の室内遊び場的な施設については、以前から必要性を感じ実現に向けて研究・検討を行っています。
https://ameblo.jp/ocsummit/entry-12619720212.html,2,OCサミット実行委員会,子どもの発達相談,鯖江市には、保健師、助産師が配置された「アイアイ親⼦サポートセンター」があります。,子どもの発達についてじっくり相談できる機関は、現在鯖江ではアイアイ鯖江があります。,現在鯖江市では、旧早稲田保育所を改修して、子育て支援の拠点施設として令和３年度から開所する予定であり、２階には、児童発達支援センターを整備する予定になっています。
https://ameblo.jp/ocsummit/entry-12619742678.html,3,OCサミット実行委員会,障がい相談窓口について,⽇常⽣活の⽀援に関する相談窓⼝については、鯖江市にはいま、３つの事業所があります。,障がい相談全般に関する「よろず承り係（コンシェルジュ）」を既存施設のどこかに設け、相談内容によって適した連携他機関へその場でオンラインなどによりつなげられるワンストップの相談窓口体制とシステムの構築を目指します。,社会生活を円滑に営むことができるよう、関係機関と連携を図りながら、支援に取り組まなくてはなりません。
https://ameblo.jp/ocsummit/entry-12619872156.html,4,OCサミット実行委員会,保育士の待遇改善,県の調査では、現職の⽅の多くが給料の改善や事務や雑務の軽減、職員増員を望んでいます。離職した⽅たちもまたしかり。,まず、令和２年度より施行された新制度「会計年度任用職員」による鯖江の非正規職員の保育士の待遇改善状況と保育士不足状況を調査分析して正確な現状を把握します。,若い夫婦の転入希望が多い本市にとって、待機児童０を維持することは重要であり、保育士の不足は大きな課題だと思っています。
https://ameblo.jp/ocsummit/entry-12619873173.html,5,OCサミット実行委員会,官民学一体の学校支援について,続けるかどうかといった、“言質を取るような”質問には、お答えしかねるところもあります。,官民学一体の学校教育の鯖江モデルを継続し、さらに発展させた鯖江式・創造教育をつくります。,現行の鯖江モデルと言われている事については継続していく事を前提に、教育委員会や学校現場と良く話し合い、必要があれば拡大していく事を検討したいと思います。
https://ameblo.jp/ocsummit/entry-12619874149.html,6,OCサミット実行委員会,小学校の合併について,少⼦化が⽌まない中、歴史ある⾼校ですら合併、廃校という流れが出てきています。,少人数ということをむしろ活かして、鯖江式・創造教育のための最適な環境整備を念頭に、地域の特色を活かせる小規模特認校への指定および地域との教育連携を優先的に検討します。,少子化が進めば、行政コストを考えた時、学校を含め医療施設や商業施設など都市機能の集約の検討を進めていかなければならないと考えます。
https://ameblo.jp/ocsummit/entry-12619874683.html,7,OCサミット実行委員会,部活動について,スポーツ、⽂化などを通して、教育の⼀⾓を占める存在であると考えています。もちろん、施設や地域団体との連携は⽋かせません。,教員の多忙さについて、以下の主な方針で解消を目指します。,特に、中学校における部活動は，教育課程外の活動であるものの、学校教育活動の一環として中学校教育において大きな意義や役割を果たしているものですが、中学校で2021年から完全実施される新学習指導要領では、「地域や学校の実態に応じ，地域の人々の協力，社会教育施設や社会教育関係団体等の各種団体との連携などの運営上の工夫を行うようにすること。」と示されました。
https://ameblo.jp/ocsummit/entry-12619875409.html,8,OCサミット実行委員会,魅力的なまちづくりについて,魅力的なまちづくりは、何もハード面の整備や産業の振興といったものだけではありません。,子育て家族やシニア世代が歩いて楽しめ、お店やオープンテラスも立ち並び買い物や飲食もできる「さばえ歩幸空間」エリアを、西山公園～誠照寺周辺などにつくります。,中心部・中心市街地の賑わいづくりには多種多様な方策をこれまで実施してきました。
https://ameblo.jp/ocsummit/entry-12619875978.html,9,OCサミット実行委員会,コンパクトシティについて,「コンパクトシティ」という⾔葉が登場してからだいぶ時間が経ちました。,コンパクトシティの発想も含めた、にぎわいと各種サービスが集中した歩けるエリア「歩幸空間」の整備を、西山公園～誠照寺・鯖江駅を中心に、いくつかの地域に絞って進めます。,今後、少子高齢化の進展で人口減少が進むと、行政コストを考えた時、医療施設や商業施設など都市機能の集約による、コンパクトシティや小さな拠点、拠点と拠点を公共交通等で結ぶといった考え方を進めていかなければならないと考えます。
https://ameblo.jp/ocsummit/entry-12619884051.html,10,OCサミット実行委員会,鯖江市の観光について,観光の拠点といえば、やはり⻄⼭公園。私も“鯖江の宝”だという思いを抱いています。,鯖江市に観光客を誘致し、お金を使ってもらうには、統一的な町並みと歩けるエリアづくり、お金を落としてもらう機会（マネタイズポイント）の明確化が必要だと考えます。,現在、丹南地区の伝統工芸品５産地が連携した広域観光の推進が、県や所在の市町で進められていますが、お金を落としてもらうには、日帰りではなく、滞在してもらうことが重要であるため、一つの市による点での観光ではなく、近隣の市町と連携して、点を結んで面として魅力をＰＲしなくてはならないと考えます。
https://ameblo.jp/ocsummit/entry-12619885067.html,11,OCサミット実行委員会,◯◯のまち鯖江について,やはり、「メガネのまち鯖江」ということになると思います。,「めがねのまち鯖江」は、他のまちとの差別化をして知名度もあげやすいものとして、対外的には統一イメージとして活用すべきと考えます。,これまでは、「めがねのまちさばえ」の認知度を上げることに全力を上げてきました。
https://ameblo.jp/ocsummit/entry-12619887542.html,12,OCサミット実行委員会,青少年の活躍の場を増やすこと、若者に魅力あるまちづくりについて,未来志向で“活き伸びる”鯖江にとっては、⻘少年はまさに主役です。,まちづくりに青少年への参画を促すのに必要なことは、まちづくりを強要せず、とにかく若者に好きに考えさせて楽しそうだと思うことを否定せずにやらせてみることだと考えます。,これまでの市民主役のまちづくりと学生連携のまちづくりを通して、若者が集まり活きいきと活動するまちとして、全国からも注目されるようになりました。
https://ameblo.jp/ocsummit/entry-12619888693.html,13,OCサミット実行委員会,丹南高校の校舎の利用について,県の施設であるので、まずは、地元への移管をお願いするつもりです。,県の所有・管理である丹南高校校舎について、以下の優先順位で検討・交渉を進めます。,現在、２、３年生がこの学び舎で高校生活を行っている現状を十分に考慮して、生徒や保護者の皆さんに寂しい思いをさせないなどの考えを最優先している事を考慮すると、この問いへの回答は難しいと思います。
https://ameblo.jp/ocsummit/entry-12619889430.html,14,OCサミット実行委員会,公共交通機関について,2023年の北陸新幹線延伸は鯖江市に⼤きなインパクトを与えます。,歩行者の快適な滞在を中心とした「歩幸空間」（ほこうくうかん）エリアをつくり、そこから各地を行き来する公共交通網を再整備します。,つつじバスにつきましては、利便性向上に向け見直しを行っていると聞きますが使いにくく不便であるという声があるのも事実です。
https://ameblo.jp/ocsummit/entry-12619890535.html,15,OCサミット実行委員会,北陸新幹線敦賀まで開業後について,北陸新幹線の敦賀延伸で、鯖江の鉄道事情は⼤きく変わります。,並行在来線とえちぜん鉄道・福井鉄道をそれぞれ適切な形で維持していくことを、各社と越前市・福井市と共同で目指します。そのための課題と方針は以下です。,市民にとって在来線、福武線共に、日常の通勤通学や出張、ショッピング等に多くの方が利用されている重要な交通手段であると認識しています。
https://ameblo.jp/ocsummit/entry-12619891405.html,16,OCサミット実行委員会,市民主役について,⾃分たちの気持ちを反映できるまちづくりを⼼がけ、この街を、住み続けたいコミュニティにしていかなければなりません。,私が考える市民主役とは、市民一人ひとり全員が自分らしく幸せな「人生の主役」でいられ、それがまちの発展にも様々な形で寄与している状態です。,定義は、市民がふるさと鯖江に愛着を持ち、誇りややりがいを持って自ら市政や地域運営に直接携わる、「自分たちのまちは自分たちでつくる」こと。
https://ameblo.jp/ocsummit/entry-12619892280.html,17,OCサミット実行委員会,ジェンダーフリーに係る多様性尊重社会について,時代は⼤きく変わっています。,あらゆるジェンダー、あらゆるセクシャリティの人々が自分らしく幸せに暮らせるまちであることは何より大切だと考えます。,鯖江市の総合戦略では、「人権尊重の意識向上を図り、同じ地域に暮らす市民としての相互理解を育むことで、性別、年齢、障害の有無、国籍を問わず、全ての市民が居場所と役割を持ち、ともに生きる共生社会の実現を目指します。」としています。
https://ameblo.jp/ocsummit/entry-12619893427.html,18,OCサミット実行委員会,鯖江市の政策方針決定の場に女性の参画を進めることについて,政策⽅針決定の場、ということの定義が難しいのですが、市役所では男⼥の別なく、実⼒のある⽅が実⼒に相応しいポストに就くことは当たり前の話です。,基本的に、政策に関わる各種審議会で民間委員に入ってもらう場合は【公募】とします。,女性の登用率を向上させることが大事であると考えます。